team1_pick1,team1_pick2,team1_pick3,team1_pick4,team1_pick5,team2_pick1,team2_pick2,team2_pick3,team2_pick4,team2_pick5,team1_wins
Maokai,Jinx,Leona,Hwei,Gnar,Varus,Ivern,Braum,Renekton,Orianna,0
Varus,K'Sante,Ivern,Azir,Rell,Corki,Sejuani,Renekton,Orianna,Nautilus,1
Corki,Skarner,Alistar,Aurora,Aatrox,Varus,Rell,Kayn,Taliyah,Gwen,0
Viktor,Skarner,Ezreal,Nautilus,Jayce,Wukong,Varus,Ahri,Rakan,K'Sante,0
Ashe,Aurora,Braum,K'Sante,Viego,Varus,Nocturne,Orianna,Neeko,Gnar,1
Rumble,Rell,Jhin,Maokai,Ambessa,Jayce,Miss Fortune,Wukong,Rakan,Viktor,0
Skarner,Ashe,Orianna,Ornn,Rakan,Wukong,Varus,LeBlanc,Renekton,Rell,1
Leona,Zyra,Yone,Ziggs,Aatrox,Jax,Sejuani,Jinx,Poppy,Sylas,0
Varus,Maokai,Orianna,Rell,Xin Zhao,Ashe,Sejuani,Hwei,K'Sante,Milio,1
Aurora,Corki,Garen,Vi,Rell,Wukong,K'Sante,Orianna,Zeri,Alistar,1
Corki,K'Sante,Rell,Karthus,Sivir,Varus,Vi,Ahri,Ambessa,Alistar,1
Corki,K'Sante,Maokai,Jhin,Leona,Jayce,Sejuani,Taliyah,Caitlyn,Braum,0
Viktor,Wukong,Ezreal,Rell,Renekton,Varus,Vi,Akali,Rakan,Gnar,1
Corki,Maokai,Leona,Ivern,Tristana,Viktor,K'Sante,Varus,Viego,Rell,0
Rumble,Azir,Wukong,Miss Fortune,Alistar,Aurora,Vi,Kai'Sa,Camille,Nautilus,0
Kalista,Neeko,K'Sante,Pantheon,Vladimir,Rumble,Vi,Aurora,Ezreal,Leona,1
Aurora,Ezreal,Jayce,Vi,Rakan,Varus,Azir,Viego,Jax,Rell,0
Wukong,Akali,Rakan,Gnar,Kai'Sa,Corki,Rell,Taliyah,Renekton,Lee Sin,1
K'Sante,Akali,Wukong,Smolder,Maokai,Yone,Sejuani,Rumble,Poppy,Kai'Sa,0
Ashe,Braum,Yone,Volibear,Jax,Viktor,Xin Zhao,Varus,Karma,Gragas,0
Corki,Ashe,Lee Sin,Braum,Ornn,Kalista,Xin Zhao,Taliyah,Gragas,Taric,0
Ambessa,Sylas,Sejuani,Lulu,Twitch,Poppy,Azir,Viego,Jinx,Blitzcrank,0
Corki,Zyra,Varus,Nautilus,Gragas,Ashe,Azir,Viego,Ornn,Rell,0
Kalista,Vi,Aurora,Leona,Camille,Caitlyn,Neeko,Ambessa,Orianna,Wukong,1
Ashe,Braum,Viego,Jax,Orianna,Neeko,K'Sante,Kalista,Aurora,Vi,0
